Ticker,Date,Signal Type,All Signals,Signal Strength,Direction,Upper Bound,20-day SMA,Lower Bound,Full Stochastic Value,Fast Stochastic Value,K Crossed Up,K Crossed Down,52-Week Drawdown Range,Price vs 200-day MA
AAPL,2026-07-30,Stochastic Overbought,Stochastic Overbought,1,Short,344.033036,324.353,304.672964,88.064944,80.465401,False,False,0-10,above_sma200
ACN,2026-07-30,Confluence High,Confluence High; Bollinger Band Upper Bound; Stochastic Overbought,3,Short,165.704122,144.64,123.575878,91.599369,93.044789,False,False,35+,below_sma200
ADBE,2026-07-30,Confluence High,Confluence High; Bollinger Band Upper Bound; Stochastic Overbought,3,Short,254.287991,229.5435,204.799009,89.919584,94.855596,False,False,20-35,below_sma200
AMAT,2026-07-30,Stochastic Oversold,Stochastic Oversold,1,Long,636.627975,551.3945,466.161025,7.639686,0.067488,False,False,35+,above_sma200
AMD,2026-07-30,Stochastic Oversold,Stochastic Oversold,1,Long,582.953835,517.1425,451.331165,14.506625,3.682493,False,False,20-35,above_sma200
AMT,2026-07-30,Bollinger Band Upper Bound,Bollinger Band Upper Bound,1,Short,175.551251,167.8875,160.223749,62.018412,93.583815,False,False,10-20,below_sma200
AMZN,2026-07-30,Stochastic Oversold,Stochastic Oversold,1,Long,257.626396,242.4125,227.198604,4.072595,1.535088,True,False,10-20,above_sma200
ASML,2026-07-30,Stochastic Oversold,Stochastic Oversold,1,Long,1895.167097,1745.205475,1595.243853,10.972946,6.211053,False,False,20-35,above_sma200
CRM,2026-07-30,Stochastic Overbought,Stochastic Overbought,1,Short,184.161038,169.727,155.292962,89.716973,94.861547,False,False,20-35,below_sma200
CRWD,2026-07-30,Stochastic Oversold,Stochastic Oversold,1,Long,210.463092,192.41,174.356908,10.452062,12.084871,False,False,10-20,above_sma200
DLR,2026-07-30,Bollinger Band Upper Bound,Bollinger Band Upper Bound,1,Short,196.907204,180.761,164.614796,58.571167,47.063666,False,False,0-10,above_sma200
EQIX,2026-07-30,Bollinger Band Upper Bound,Bollinger Band Upper Bound,1,Short,1066.866073,1028.4785,990.090927,32.384982,12.694697,False,False,0-10,above_sma200
EXR,2026-07-30,Bollinger Band Upper Bound,Bollinger Band Upper Bound,1,Short,152.314431,147.018,141.721569,70.068704,63.006135,False,False,0-10,above_sma200
INTC,2026-07-30,Stochastic Oversold,Stochastic Oversold,1,Long,122.85908,102.0055,81.15192,8.556745,0.309704,False,False,35+,above_sma200
KLAC,2026-07-30,Confluence Low,Confluence Low; Bollinger Band Lower Bound; Stochastic Oversold,3,Long,248.312765,214.5285,180.744235,7.415849,0.559564,False,False,35+,above_sma200
LRCX,2026-07-30,Stochastic Oversold,Stochastic Oversold,1,Long,372.651466,319.7215,266.791534,8.68663,1.733021,False,False,35+,above_sma200
MA,2026-07-30,Confluence High,Confluence High; Bollinger Band Upper Bound; Stochastic Overbought,3,Short,569.227178,541.139,513.050822,92.457023,86.750099,False,False,0-10,above_sma200
META,2026-07-30,Confluence Low,Confluence Low; Bollinger Band Lower Bound; Stochastic Oversold,3,Long,693.119627,622.1125,551.105373,11.22163,3.264009,False,False,20-35,below_sma200
MSFT,2026-07-30,Bollinger Band Upper Bound,Bollinger Band Upper Bound,1,Short,422.158286,393.1545,364.150714,51.835736,45.979021,False,False,20-35,above_sma200
MU,2026-07-30,Stochastic Oversold,Stochastic Oversold,1,Long,1052.179887,919.3145,786.449113,18.241074,0.408923,False,False,35+,above_sma200
NVDA,2026-07-30,Stochastic Oversold,Stochastic Oversold,1,Long,216.189275,203.0005,189.811725,9.074719,0.0,False,False,10-20,above_sma200
NXPI,2026-07-30,Confluence Low,Confluence Low; Bollinger Band Lower Bound; Stochastic Oversold,3,Long,297.831493,272.534,247.236507,9.396279,3.606557,False,False,20-35,above_sma200
PG,2026-07-30,Bollinger Band Lower Bound,Bollinger Band Lower Bound,1,Long,152.406063,148.4025,144.398937,42.189104,41.784703,False,False,10-20,below_sma200
PSA,2026-07-30,Bollinger Band Lower Bound,Bollinger Band Lower Bound,1,Long,332.461802,320.8435,309.225198,78.59605,78.170775,False,False,0-10,above_sma200
PYPL,2026-07-30,Stochastic Overbought,Stochastic Overbought,1,Short,63.016665,52.3465,41.676335,92.381922,91.8278,False,False,20-35,above_sma200
QCOM,2026-07-30,Confluence Low,Confluence Low; Bollinger Band Lower Bound; Stochastic Oversold,3,Long,195.193418,174.6355,154.077582,6.960231,1.932367,False,False,35+,below_sma200
SNPS,2026-07-30,Stochastic Oversold,Stochastic Oversold,1,Long,463.470581,406.835,350.199419,18.39002,8.747583,False,False,35+,below_sma200
TSLA,2026-07-30,Stochastic Oversold,Stochastic Oversold,1,Long,448.278524,368.0425,287.806476,3.78353,0.811885,False,True,35+,below_sma200
TSM,2026-07-30,Stochastic Oversold,Stochastic Oversold,1,Long,453.131161,416.631,380.130839,13.563443,2.913056,False,False,20-35,above_sma200
TXN,2026-07-30,Stochastic Oversold,Stochastic Oversold,1,Long,313.995939,291.6205,269.245061,9.389029,5.750509,False,False,10-20,above_sma200
UNH,2026-07-30,Confluence Low,Confluence Low; Bollinger Band Lower Bound; Stochastic Oversold,3,Long,434.561842,424.8845,415.207158,19.953817,16.361043,False,False,0-10,above_sma200
V,2026-07-30,Stochastic Overbought,Stochastic Overbought,1,Short,369.782459,357.508,345.233541,84.005628,81.703911,False,False,0-10,above_sma200
