head,n_val,rounds,model_loss,baseline,improve_pct,beats_global,beats_sector,coverage,cov_err,cov_ok
terminal_h5_q05,34195,72,0.005408,0.005676,4.74,True,True,0.087,0.037,True
terminal_h5_q25,34195,61,0.014348,0.014543,1.34,True,True,0.3318,0.0818,False
terminal_h5_q50,34195,41,0.017034,0.016959,-0.44,False,False,0.5476,0.0476,True
terminal_h5_q75,34195,159,0.013509,0.013808,2.17,True,True,0.7567,0.0067,True
terminal_h5_q95,34195,199,0.004748,0.005391,11.92,True,True,0.9353,-0.0147,True
terminal_h10_q05,34195,120,0.007576,0.007896,4.06,True,True,0.0885,0.0385,True
terminal_h10_q25,34195,20,0.020828,0.020941,0.54,True,True,0.3428,0.0928,False
terminal_h10_q50,34195,20,0.024463,0.024328,-0.55,False,False,0.551,0.051,False
terminal_h10_q75,34195,83,0.019154,0.019486,1.7,True,True,0.7636,0.0136,True
terminal_h10_q95,34195,177,0.006561,0.007362,10.87,True,True,0.9373,-0.0127,True
peak_h5_q05,34195,86,0.002975,0.002974,-0.04,False,False,0.0584,0.0084,True
peak_h5_q25,34195,105,0.009828,0.010255,4.17,True,True,0.2432,-0.0068,True
peak_h5_q50,34195,218,0.013598,0.015182,10.43,True,True,0.4617,-0.0383,True
peak_h5_q75,34195,211,0.012383,0.014745,16.02,True,True,0.6863,-0.0637,False
peak_h5_q95,34195,195,0.005086,0.006365,20.1,True,True,0.916,-0.034,True
peak_h10_q05,34195,62,0.003539,0.003549,0.27,True,True,0.0551,0.0051,True
peak_h10_q25,34195,111,0.012432,0.013084,4.99,True,True,0.2362,-0.0138,True
peak_h10_q50,34195,167,0.017659,0.019774,10.7,True,True,0.4492,-0.0508,False
peak_h10_q75,34195,218,0.016095,0.019118,15.81,True,True,0.6796,-0.0704,False
peak_h10_q95,34195,189,0.006564,0.008052,18.49,True,True,0.9126,-0.0374,True
