fired_at_pt,ticker,signal_type,entry_price,side,touch_level,k_full,d_full,k_fast,atr_14,vix_close,spx_ret_1d,channels_sent,day_open,reversal,open_gap_atr
2026-08-26 06:45:40.993716,CCJ,confluence_high,110.4100,short,106.6467,92.921927,86.618625,94.625083,3.634286,15.7100,,{},107.06,,
2026-08-26 06:45:40.993716,DKS,confluence_low,125.7700,long,157.4903,9.124989,10.767703,0.336883,10.914286,15.7100,,{},121.87,,
2026-08-26 06:45:40.993716,FCX,confluence_high,79.5450,short,78.4232,95.303452,93.307495,99.721836,2.805000,15.7100,,{},79.34,,
2026-08-26 06:45:40.993716,FER,confluence_low,61.1100,long,61.9939,10.268964,12.103282,14.220183,1.079286,15.7100,,{},61.48,,
2026-08-26 06:45:40.993716,IBIT,confluence_high,44.4900,short,43.8381,94.052091,93.775942,94.020101,1.174286,15.7100,,{},44.2,,
2026-08-26 06:45:40.993716,SCCO,confluence_high,219.3800,short,216.8294,92.072962,88.815905,97.057221,8.903936,15.7100,,{},217.92,,
2026-08-26 06:45:40.993716,TJX,confluence_low,137.7150,long,137.7776,4.396864,6.074040,1.328761,3.404286,15.7100,,{},139.2,,
2026-08-26 06:45:40.993716,WSM,confluence_low,228.0800,long,228.7685,19.082530,21.722384,16.941467,6.329286,15.7100,,{},240.25,,
2026-08-26 06:54:09.046182,IBKR,confluence_high,96.5300,short,96.1912,89.840320,76.489559,95.814649,3.062143,15.7100,,{},97.78,,
2026-08-26 06:54:09.046182,RL,confluence_low,361.0750,long,361.7585,9.071849,12.689007,0.775985,12.786429,15.7100,,{},364.24,,
2026-08-26 07:04:18.915564,DGX,confluence_high,245.3500,short,244.9684,88.504048,85.974232,89.139942,4.585714,15.7100,,{},244.11,,
2026-08-26 07:24:27.827095,GRMN,confluence_low,286.2200,long,286.4280,8.442936,12.145716,5.626598,7.225000,15.7100,,{},286.86,,
2026-08-26 12:01:19.901004,WELL,confluence_high,242.6400,short,242.6081,87.861580,86.103093,90.847838,4.416429,15.7100,,{},241.96,,
