head,tau,err,ok,arm,steps,n_train,n_validate
terminal_h5,0.05,0.0151818950930626,True,expand_purge,"[956, 790, 920]",144589,11690
terminal_h5,0.25,0.03747884940778334,True,expand_purge,"[956, 790, 920]",144589,11690
terminal_h5,0.5,0.01134517766497456,True,expand_purge,"[956, 790, 920]",144589,11690
terminal_h5,0.75,-0.04247884940778357,True,expand_purge,"[956, 790, 920]",144589,11690
terminal_h5,0.95,-0.041979695431472175,True,expand_purge,"[956, 790, 920]",144589,11690
terminal_h10,0.05,0.013570219966159036,True,expand_purge,"[956, 790, 920]",144589,11690
terminal_h10,0.25,0.038549069373942424,True,expand_purge,"[956, 790, 920]",144589,11690
terminal_h10,0.5,0.021873942470389096,True,expand_purge,"[956, 790, 920]",144589,11690
terminal_h10,0.75,-0.03235617597292739,True,expand_purge,"[956, 790, 920]",144589,11690
terminal_h10,0.95,-0.04802453468697132,True,expand_purge,"[956, 790, 920]",144589,11690
peak_h5,0.05,0.007123519458544829,True,expand_purge,"[956, 790, 920]",144589,11690
peak_h5,0.25,-0.0246023688663283,True,expand_purge,"[956, 790, 920]",144589,11690
peak_h5,0.5,-0.06797800338409482,False,expand_purge,"[956, 790, 920]",144589,11690
peak_h5,0.75,-0.07940778341793586,False,expand_purge,"[956, 790, 920]",144589,11690
peak_h5,0.95,-0.048312182741116816,True,expand_purge,"[956, 790, 920]",144589,11690
peak_h10,0.05,0.006391708967851087,True,expand_purge,"[956, 790, 920]",144589,11690
peak_h10,0.25,-0.023934010152284274,True,expand_purge,"[956, 790, 920]",144589,11690
peak_h10,0.5,-0.06088832487309653,False,expand_purge,"[956, 790, 920]",144589,11690
peak_h10,0.75,-0.0721277495769882,False,expand_purge,"[956, 790, 920]",144589,11690
peak_h10,0.95,-0.03650169204737741,True,expand_purge,"[956, 790, 920]",144589,11690
trough_h5,0.05,0.02908629441624365,True,expand_purge,"[956, 790, 920]",144589,11690
trough_h5,0.25,0.049826565143824,True,expand_purge,"[956, 790, 920]",144589,11690
trough_h5,0.5,0.043972081218274006,True,expand_purge,"[956, 790, 920]",144589,11690
trough_h5,0.75,0.00969120135363788,True,expand_purge,"[956, 790, 920]",144589,11690
trough_h5,0.95,-0.012038917089678636,True,expand_purge,"[956, 790, 920]",144589,11690
trough_h10,0.05,0.04144247038917087,True,expand_purge,"[956, 790, 920]",144589,11690
trough_h10,0.25,0.06458544839255498,False,expand_purge,"[956, 790, 920]",144589,11690
trough_h10,0.5,0.05963620981387463,False,expand_purge,"[956, 790, 920]",144589,11690
trough_h10,0.75,0.028176818950930604,True,expand_purge,"[956, 790, 920]",144589,11690
trough_h10,0.95,-0.004293570219966347,True,expand_purge,"[956, 790, 920]",144589,11690
