ticker,signal_date,signal_type,signal_types_all,signal_strength,side,touch_level,bb_pctb,k_full,k_fast,k_cross_up,k_cross_down,dd_bucket,trend_state
ACN,2026-07-28,bb_upper_touch,['bb_upper_touch'],1,short,152.1104,1.07215,79.466413,89.831748,False,False,35+,below_sma200
ADBE,2026-07-28,bb_upper_touch,['bb_upper_touch'],1,short,241.1734,0.907644,46.409419,86.204684,True,False,35+,below_sma200
AMAT,2026-07-28,bb_lower_touch,['bb_lower_touch'],1,long,480.6206,0.17527,26.41345,17.052956,False,True,20-35,above_sma200
AMD,2026-07-28,bb_lower_touch,['bb_lower_touch'],1,long,487.1363,0.087614,51.454806,30.476358,False,False,10-20,above_sma200
AMT,2026-07-28,bb_upper_touch,['bb_upper_touch'],1,short,170.8882,0.522724,37.340401,38.189386,False,True,20-35,below_sma200
AMZN,2026-07-28,confluence_low,"['confluence_low', 'bb_lower_touch', 'stoch_oversold']",3,long,231.8298,-0.018415,3.513771,1.47656,False,False,10-20,below_sma200
ASML,2026-07-28,bb_lower_touch,['bb_lower_touch'],1,long,1661.7813,-0.025092,37.312896,17.083011,False,True,10-20,above_sma200
BRK-B,2026-07-28,bb_upper_touch,['bb_upper_touch'],1,short,506.6003,0.571797,36.833446,58.992042,False,False,0-10,above_sma200
CCI,2026-07-28,stoch_oversold,['stoch_oversold'],1,long,,0.059957,11.954519,8.356164,False,False,20-35,below_sma200
CDNS,2026-07-28,stoch_oversold,['stoch_oversold'],1,long,,0.229554,16.495136,26.138446,False,False,10-20,above_sma200
CRM,2026-07-28,bb_upper_touch,['bb_upper_touch'],1,short,176.3051,0.867612,45.124224,84.633028,True,False,35+,below_sma200
CRWD,2026-07-28,confluence_low,"['confluence_low', 'bb_lower_touch', 'stoch_oversold']",3,long,177.3497,0.085062,4.827325,1.605263,False,False,10-20,above_sma200
DLR,2026-07-28,bb_upper_touch,['bb_upper_touch'],1,short,193.6255,1.0748,74.240915,67.864984,False,True,0-10,above_sma200
EXR,2026-07-28,bb_upper_touch,['bb_upper_touch'],1,short,150.2629,0.744833,46.397695,57.444765,False,False,0-10,above_sma200
GOOG,2026-07-28,stoch_oversold,['stoch_oversold'],1,long,,0.072849,10.836417,19.643458,True,False,10-20,above_sma200
GOOGL,2026-07-28,stoch_oversold,['stoch_oversold'],1,long,,0.068126,10.650986,19.314229,True,False,10-20,above_sma200
IBM,2026-07-28,stoch_oversold,['stoch_oversold'],1,long,,0.276301,12.092897,16.333747,False,False,20-35,below_sma200
INTC,2026-07-28,stoch_oversold,['stoch_oversold'],1,long,,0.166629,18.038666,15.85652,False,False,20-35,above_sma200
JNJ,2026-07-28,bb_upper_touch,['bb_upper_touch'],1,short,268.213,0.898692,73.382029,87.773488,False,False,0-10,above_sma200
LRCX,2026-07-28,confluence_low,"['confluence_low', 'bb_lower_touch', 'stoch_oversold']",3,long,270.9878,0.148309,17.739473,14.382514,False,True,20-35,above_sma200
MA,2026-07-28,bb_upper_touch,['bb_upper_touch'],1,short,555.7491,0.91023,67.633602,94.378546,True,False,0-10,above_sma200
META,2026-07-28,stoch_oversold,['stoch_oversold'],1,long,,0.285152,19.554781,15.41143,False,False,20-35,below_sma200
MU,2026-07-28,bb_lower_touch,['bb_lower_touch'],1,long,807.5158,0.295772,57.50324,41.555076,False,True,20-35,above_sma200
NXPI,2026-07-28,bb_lower_touch,['bb_lower_touch'],1,long,263.1297,0.161344,32.556962,23.113924,False,True,10-20,above_sma200
OKTA,2026-07-28,confluence_low,"['confluence_low', 'bb_lower_touch', 'stoch_oversold']",3,long,130.7795,0.270016,15.309493,15.682895,False,False,10-20,above_sma200
PG,2026-07-28,bb_upper_touch,['bb_upper_touch'],1,short,151.9959,0.507102,31.15942,41.097308,False,False,10-20,above_sma200
PSA,2026-07-28,bb_upper_touch,['bb_upper_touch'],1,short,330.4086,0.685077,56.831011,74.277978,False,False,0-10,above_sma200
PYPL,2026-07-28,stoch_overbought,['stoch_overbought'],1,short,,0.768664,88.54615,88.522238,True,False,20-35,above_sma200
QCOM,2026-07-28,confluence_low,"['confluence_low', 'bb_lower_touch', 'stoch_oversold']",3,long,164.2293,0.198052,14.697744,16.826309,False,False,20-35,below_sma200
SNPS,2026-07-28,stoch_oversold,['stoch_oversold'],1,long,,0.248197,14.401092,26.151746,True,False,35+,below_sma200
TSLA,2026-07-28,confluence_low,"['confluence_low', 'bb_lower_touch', 'stoch_oversold']",3,long,318.5304,-0.069826,4.69769,4.537105,False,False,35+,below_sma200
TSM,2026-07-28,bb_lower_touch,['bb_lower_touch'],1,long,387.0808,0.150564,29.777491,21.193449,False,False,10-20,above_sma200
TXN,2026-07-28,confluence_low,"['confluence_low', 'bb_lower_touch', 'stoch_oversold']",3,long,275.9862,0.093161,17.823123,13.774898,False,False,10-20,above_sma200
UNH,2026-07-28,stoch_oversold,['stoch_oversold'],1,long,,0.170528,14.440805,10.391198,False,False,0-10,above_sma200
V,2026-07-28,bb_upper_touch,['bb_upper_touch'],1,short,366.4874,0.838708,58.896396,87.403475,True,False,0-10,above_sma200
WELL,2026-07-28,confluence_high,"['confluence_high', 'bb_upper_touch', 'stoch_overbought']",3,short,252.5042,0.855887,87.874045,81.277981,False,False,0-10,above_sma200
